没戏	没辙	1
只管	尽管	1
GDP	生产力	1
包袱	段子	1
由此	通过	1
日期	时间	1.0000000000000233
爱面子	好高骛远	1
严厉	严谨	10.00000000000002
一方面	一边	10.000000000000012
托福	GRE	1
亏	幸亏	1
蹩脚	差强人意	1
容易	顺利	0.999999999999998
悲喜	大悲大喜	1
老气	土气	1
狭隘	狭窄	1
抄袭	克隆	1
害臊	腼腆	1
幻境	红楼梦	1
依稀	清晰	1
权限	权力	8.49566692219634
伟大	壮烈	6.877214213773245
娇艳	幽美	1
理解	理会	1
酣睡	打鼾	1
自然	环境	7.040574862699197
振兴	建设	1.0000000000000058
节日	假日	9.176895399546897
的哥	司机	1
几乎	差点儿	1
江湖	红尘	1
路子	后门	1
牛脾气	我行我素	1
物品	物质	10.000000000000002
塞车	拥挤	1
面	首	5.26898670089068
冷僻	晦涩	1
免费	便宜	9.004243037013406
发票	账单	1
回收站	垃圾篓	1
典型	代表	1.0000000000000009
必须	必需	10.0
出神	发楞	1
琢磨	镂刻	1
身姿	身手	1
质量	重量	6.360619532992253
事变	后院起火	1
大小	多少	7.531575277603677
信物	证件	1
牺牲	粉身碎骨	1
豆蔻年华	黄金时代	1
血液	红细胞	1
硅谷	中关村	1
天赋	技能	1
酷	爽	1
旅客	驴友	1
隆重	重要	2.542513102223105
候选人	备胎	1
平凡	平庸	1
了不得	好	1
鸣谢	酬答	1
线路	行程	7.269064386455919
多角度	多元化	1
要面子	虚荣心	1
许可证	执照	10.0
是非	方圆	8.906904347255113
崛起	凸起	1
工作日	开放日	1
大	高	0.9999999999999993
吸引力	地磁力	1
右翼	左派	1
和谐	平安	8.473296861012154
商标	符号	1
违纪	贪污	6.452815729760588
环境	生态	7.479496953361653
实践	进行	2.223249529119516
买卖	营销	5.631167506625538
合理	合理性	7.085702613098012
辛勤	夜以继日	1
手续	过程	3.5581385496742444
渣	废品	1
高峰	山巅	1
收费	缴纳	7.177134862082954
享受	大快朵颐	1
怯懦	胆小鬼	1
杂事	闲事	1
言语	语言	1
借口	理由	8.570683826498469
与	以及	3.742907788964609
怯弱	狗熊	1
惠顾	照顾	1
迷人	气质	9.999999999999998
果粉	米粉	1
榜样	样子	7.304070122703637
愚钝	大智若愚	1
打假	扫黄	9.602252156744047
均衡	全面	4.163190529477265
制约	收敛	1
经营者	纳税人	6.672161175839909
瘦弱	苗条	1
前途	道路	5.016810143154322
遛弯	走路	1
爱心	慈善	7.2597643895776125
光盘	硬盘	1
一体化	集成化	1
销魂	陶醉	1
光荣	流芳百世	1
观后感	影评	1
恼怒	愤慨	1
帮助	赞助	3.125755045411215
拥戴	崇拜	10.000000000000002
扯淡	闲聊	1
旅程	旅行	1
男孩	小伙子	8.313454633777143
见解	意见	5.054372037004058
穷苦	贫穷	1
生命	性命	1
滚蛋	滚开	1
维他命	维生素	1
多元化	年轻化	1
宝贵	金子	1
结构	系统	2.2556597251450365
玩偶	工具	1
丧失	失独	1
肚量	肚子	1
娇气	公主	1
寒暑假	黄金周	1
笑料	活宝	1
百货	商场	5.9340238037172055
信息化	智能化	1
茶道	茶叶	1
罪孽	犯人	1
感冒药	退烧药	1
难点	问题	5.051225659248337
同事	朋友	6.317558259335752
名字	姓氏	1
网站	网页	1
名誉	名气	5.387202427699612
七情六欲	欲望	1
审理	问讯	1
工具	器具	8.223120276599303
意思	意义	4.039035186315345
优惠	降价	5.456176955651223
伴随	陪伴	6.92485904106823
尘垢	污秽	1
猫腻	阴谋诡计	1
吃醋	争风吃醋	1
软着陆	经济	1
生产力	创新	3.9504495684565932
上市	盈利	6.177056699872737
泼妇	女强人	1
载体	书本	6.822816187167924
地址	小区	5.9923197253226865
价钱	票房	6.757764008146885
表彰	进步	3.2263543776410883
理论	结论	5.070853464898856
烦闷	失眠	1
亲人	敌人	3.99230364064524
跳槽	移动	1
饮酒	喝茶	1
财运	桃花运	1
女权	女性	1
一般	差	3.5270805080166987
赌局	扑克牌	1
宋	明	4.765578265153633
雾霾	阴天	1
程序	指令	7.017399457581758
关键字	关键	1
松驰	疲软	1
平等	平均	1.0000000000000016
经营	张罗	1
客套	礼貌	1
利用	使用	4.889847733928344
审查	自纠自查	1
炖	焖	1
喜欢	崇敬	7.820178969342419
暗号	密码	1
规律	原理	5.919120253133748
轻率	鲁莽	1
手法	方法	5.833659937948928
准则	规则	6.77082009290991
迂腐	墨守成规	1
闯祸	惹是生非	1
清晰	一清二楚	1
姐妹	闺蜜	1
扎实	脚踏实地	7.9064523507574265
事物	东西	6.381262151376208
睡	寐	1
忌妒	妒嫉	1
俱乐部	富人	1
味道	鼻子	1
绩点	老师	1
关心	放任	1
空间	世界	3.19910916453299
僻静	冷静	1
字符	程序	1
裁判	足球	6.2589659875253565
股票	银行	2.295316350669526
红颜	面容	1
著名	著作	5.096116012084909
可能性	可靠性	6.661336877360058
占有	争取	4.078037765391228
合肥	巴黎	5.036583336450048
热线	焦点	6.896533954793408
影响力	破坏力	1
温度	湿度	8.790813725586755
痛苦	忍辱负重	1
偶遇	艳遇	1
公众	媒体	5.32876463685174
姑娘	青春	5.074923954193979
多媒体	设备	5.594418172484272
韩	日	3.9908416129101125
钱	利	1.5221499944994559
细心	三心二意	1
博物馆	剧院	7.0964480582350555
诵读	歌唱	1
阳光	雨露	1
竞争	考试	3.5182674346062615
消灭	灭菌	1
饭局	交际	1
媚俗	高雅	1
密码	账号	10.000000000000002
夫人	孩子	2.8856746607930988
简化	优化	4.977842173901065
侵害	性侵	1
故事	剧情	6.734078609976445
调整	整合	5.549613984262969
亲密	缠绵	8.525845428082583
创新	发明	5.366291231460702
带头	敢为人先	1
公约	规章	7.423236646899024
高大上	超凡脱俗	1
解闷	排遣	1
放肆	大胆	1
合同	协议	6.034236218978608
私语	嘀咕	1
大概	差不多	8.187558104016723
比如	譬如	8.116859194038494
友善	清新	1
胆小鬼	兔子	1
繁荣	泡沫	3.0446636466750374
智力	想象	6.237140511628803
茶馆	企业	1
消极	四大皆空	1
爱怜	同病相怜	1
激励	缅怀	5.700792544886844
灌输	讲解	1
车辆	行人	6.82697314457839
偏见	认知	1
北京市	成都市	6.870009974566136
水果	西红柿	6.8678757236360495
艺术家	地理学家	1
干涉	管理	2.9704568412009906
管理	托管	1
书籍	图书馆	6.002388635666584
框架	组织	3.313165570589389
炮兵	海军	1
学习	上课	4.38826144952916
图书馆	文化宫	1
欲望	情欲	1
独立	啃老	1
同学	同事	7.07195645177318
语文	数学	1
低贱	崇高	1
海域	渤海湾	1
奖赏	惩罚	8.563693907347838
名称	外号	1
霸气	气场	1
数据库	信息	5.4596269323116875
波涛	海水	1
唱	颂	6.567291323269978
鬼话	谎言	1
顺应	附和	1
较真儿	死板	1
乐观	阳光	4.9910084684533995
羞辱	辱	1
赋予	给予	4.068700074296564
伪善	虚伪	1
在行	熟练	1
怪异	奇怪	1
谦卑	谦逊	1
反应	反响	5.514202162544557
过时	落伍	1
金钱	钱财	1
种	栽	4.262590886927738
对话框	窗口	1
弥补	补偿	7.619591585431178
财力	精力	6.276995849184638
功夫	素养	6.530967150190216
竞争力	鉴赏力	1
比赛	团队	1
企业家	作曲家	6.305686895634293
素菜	牛肉	1
报警	报告	4.255899794594759
残疾	死亡	4.351872722721239
指导	斥责	1
利润	成本	5.342347116089124
思想	智力	4.671838946901173
配合	违抗	1
电话	邮件	5.944061561062502
公司	代销店	1
苹果	香蕉	8.818405725938083
盈利	亏损	6.50397093975273
公益	善心	1
总理	主席	1.2755586117662723
医生	护士	1
疼爱	溺爱	1
新闻界	舆论界	6.967366128536276
眺望	展望	1
发怒	恼羞成怒	1
执着	倔强	1
牵强	勉强	1
散伙	离别	1
支柱	骨干	4.992431589222975
慰劳	犒赏	1
心态	心境	8.46481351132921
走神	愣	1
诀窍	秘籍	1
成果	果实	4.099455991040891
恼	怒	1
犹豫	踟蹰不前	1
作用	功能	3.543637671194505
怜爱	爱怜	1
化肥	化学肥料	1
物流	顺风	1
皮肤	眼睛	7.524440123520791
印象	大脑	5.394908803629354
阶层	皇室	1
新鲜	空气	6.373452479772461
法庭	律师	6.587693015114799
文章	理论	3.464417047302199
行星	月亮	1
日记	文章	6.14819446680464
食物	水果	6.158539631396928
俗	美	1
会员卡	会员	1
欧洲	南美洲	1
风景	山水	7.775663138181562
文体	骚体	1
没劲	兴致勃勃	1
新浪	腾讯	1
服装	裙子	1
凉快	炎热	1
